Shape_Length,Shape_Area,Unit,UnitDesc,SphArea_km,OBJECTID,SUM_SphArea_km
508348.090127079281956,18426307608.803539276123047,AHi,Amazonian and Hesperian impact unit,22364.4902344,2,7913061.843505859375000
481077.871283750864677,14670395736.613115310668945,AHi,Amazonian and Hesperian impact unit,17786.2089844,2,7913061.843505859375000
5461394.286845231428742,320845103308.900390625000000,HNt,Hesperian and Noachian transition unit,392401.6250000,19,2889481.606689453125000
405291.609070087026339,12069245844.697969436645508,AHi,Amazonian and Hesperian impact unit,14626.3701172,2,7913061.843505859375000
447866.315592243103310,7332502081.178305625915527,AHi,Amazonian and Hesperian impact unit,8884.6972656,2,7913061.843505859375000
924624.962392510264181,26048145663.813804626464844,mNhm,Middle Noachian highland massif unit,31567.2421875,41,1873161.479003906250000
325894.007292287889868,7752589583.828387260437012,HNhu,Hesperian and Noachian highland undivided unit,9389.5087891,18,1006731.637207031250000
1230631.839435559464619,47532933155.906089782714844,eNh,Early Noachian highland unit,57734.5273438,15,14599337.820922851562500
665826.022379744215868,14832773315.784099578857422,Ht,Hesperian transition unit,17965.2148438,23,910149.268066406250000
381457.963642415299546,5782315576.251879692077637,lNh,Late Noachian highland unit,6983.0722656,37,8419068.689208984375000
3374604.332805211655796,150501897785.590637207031250,lHt,Late Hesperian transition unit,183873.0937500,34,2345022.695800781250000
1658897.664488272042945,79865390704.744491577148438,Aa,Amazonian apron unit,97021.0156250,1,998728.253906250000000
3560942.482807697728276,434190525784.841857910156250,AHtu,Amazonian and Hesperian transition undivided unit,530993.8125000,3,2200401.866943359375000
1237986.469918083399534,46907350685.569694519042969,eHt,Early Hesperian transition unit,57087.5039062,13,3688018.222167968750000
326528.974042137153447,4473471756.043073654174805,lHv,Late Hesperian volcanic unit,5397.5419922,35,2391023.202148437500000
851710.050470039714128,18884929618.735122680664062,lNh,Late Noachian highland unit,22798.2675781,37,8419068.689208984375000
1626827.044761174824089,46477903017.739738464355469,eNh,Early Noachian highland unit,56240.2656250,15,14599337.820922851562500
294691.517891437339131,4497609614.120443344116211,HNt,Hesperian and Noachian transition unit,5419.3344727,19,2889481.606689453125000
538876.870399779640138,9886141004.997613906860352,lAa,Late Amazonian apron unit,11942.7968750,27,285947.158203125000000
429107.867281296232250,7560332822.136898040771484,lNh,Late Noachian highland unit,9112.0703125,37,8419068.689208984375000
736414.039670799043961,38723282681.459419250488281,AHi,Amazonian and Hesperian impact unit,46816.6523438,2,7913061.843505859375000
398432.113936172157992,5206737987.661618232727051,HNt,Hesperian and Noachian transition unit,6278.0019531,19,2889481.606689453125000
352179.065669205214363,6992370349.034493446350098,AHi,Amazonian and Hesperian impact unit,8428.8662109,2,7913061.843505859375000
348832.463135489728302,8520700635.107527732849121,AHi,Amazonian and Hesperian impact unit,10267.4365234,2,7913061.843505859375000
593016.371082996716723,21385133334.997329711914062,AHi,Amazonian and Hesperian impact unit,25816.1445312,2,7913061.843505859375000
584156.844748100265861,21444400189.693592071533203,AHi,Amazonian and Hesperian impact unit,25864.8632812,2,7913061.843505859375000
501072.979090617620386,9841399527.515041351318359,eHt,Early Hesperian transition unit,11845.7656250,13,3688018.222167968750000
500017.399958012043498,17958448892.459354400634766,AHi,Amazonian and Hesperian impact unit,21631.6015625,2,7913061.843505859375000
7272015.325249876827002,385815790866.694091796875000,HNt,Hesperian and Noachian transition unit,470803.3125000,19,2889481.606689453125000
333034.906336593325250,5286389769.058641433715820,lNh,Late Noachian highland unit,6354.9985352,37,8419068.689208984375000
406874.703379227139521,11416128881.335470199584961,Hve,Hesperian volcanic edifice unit,13730.7460938,26,382780.249511718750000
675222.096773953991942,20801769642.393707275390625,HNt,Hesperian and Noachian transition unit,25100.2871094,19,2889481.606689453125000
3022569.056089257355779,140368435751.677856445312500,mNh,Middle Noachian highland unit,170290.0000000,40,32313488.187866210937500
1597494.012896427419037,38933632604.611030578613281,Ht,Hesperian transition unit,47172.6718750,23,910149.268066406250000
887684.169773192843422,45260870921.062438964843750,AHi,Amazonian and Hesperian impact unit,54601.1484375,2,7913061.843505859375000
1948937.016599450726062,84038650193.534912109375000,HNt,Hesperian and Noachian transition unit,101551.8750000,19,2889481.606689453125000
418288.131106121465564,9910529903.046714782714844,lHvf,Late Hesperian volcanic field unit,11891.7539062,36,440897.132812500000000
353955.763984748045914,4900477546.279509544372559,Nhu,Noachian highland undivided unit,5883.9531250,43,1610477.508789062500000
12346055.278012566268444,916073613674.713256835937500,mNh,Middle Noachian highland unit,1119287.0000000,40,32313488.187866210937500
8724748.067028842866421,474137320170.904113769531250,HNhu,Hesperian and Noachian highland undivided unit,579206.6250000,18,1006731.637207031250000
290110.822008499118965,4227610170.952855110168457,Ht,Hesperian transition unit,5059.7675781,23,910149.268066406250000
1449997.240113169420511,55128250522.528114318847656,Ht,Hesperian transition unit,66637.4453125,23,910149.268066406250000
1351997.391573716420680,38274212736.057510375976562,lNh,Late Noachian highland unit,46038.7226562,37,8419068.689208984375000
421847.550804310711101,11483358195.813207626342773,AHi,Amazonian and Hesperian impact unit,13744.9121094,2,7913061.843505859375000
1307578.537791316164657,110506384302.389419555664062,Ave,Amazonian volcanic edifice,133422.8750000,9,824778.192382812500000
481349.896031889249571,8222486477.333512306213379,Hto,Hesperian transition outflow unit,9837.4482422,24,1289054.372802734375000
1612892.261770430253819,70600667374.232162475585938,lHv,Late Hesperian volcanic unit,85173.0781250,35,2391023.202148437500000
